,time,ADM1_EN,ADM2_EN,precipitation,time2,time3
16,2023-02-06 00:00:00,Analanjirofo,Fenerive Est,0.493270839166004,2023-02-06,02-06
126,2023-02-06 03:00:00,Analanjirofo,Fenerive Est,0.936963240624979,2023-02-06,02-06
236,2023-02-06 06:00:00,Analanjirofo,Fenerive Est,1.5662115841495,2023-02-06,02-06
346,2023-02-06 09:00:00,Analanjirofo,Fenerive Est,1.76007432023359,2023-02-06,02-06
456,2023-02-06 12:00:00,Analanjirofo,Fenerive Est,2.20373050336135,2023-02-06,02-06
566,2023-02-06 15:00:00,Analanjirofo,Fenerive Est,2.08026324243222,2023-02-06,02-06
676,2023-02-06 18:00:00,Analanjirofo,Fenerive Est,3.56378520542057,2023-02-06,02-06
786,2023-02-06 21:00:00,Analanjirofo,Fenerive Est,1.9436142583503,2023-02-06,02-06
896,2023-02-07 00:00:00,Analanjirofo,Fenerive Est,0.328056444181129,2023-02-07,02-07
1006,2023-02-07 03:00:00,Analanjirofo,Fenerive Est,0.39164473209754,2023-02-07,02-07
1116,2023-02-07 06:00:00,Analanjirofo,Fenerive Est,1.83665062765851,2023-02-07,02-07
1226,2023-02-07 09:00:00,Analanjirofo,Fenerive Est,2.67723967900831,2023-02-07,02-07
1336,2023-02-07 12:00:00,Analanjirofo,Fenerive Est,1.90952996868425,2023-02-07,02-07
1446,2023-02-07 15:00:00,Analanjirofo,Fenerive Est,0.565250982105051,2023-02-07,02-07
1556,2023-02-07 18:00:00,Analanjirofo,Fenerive Est,1.68924633869364,2023-02-07,02-07
1666,2023-02-07 21:00:00,Analanjirofo,Fenerive Est,1.53370342402083,2023-02-07,02-07
1776,2023-02-08 00:00:00,Analanjirofo,Fenerive Est,0.547083719772323,2023-02-08,02-08
1886,2023-02-08 03:00:00,Analanjirofo,Fenerive Est,0.63941598099728,2023-02-08,02-08
1996,2023-02-08 06:00:00,Analanjirofo,Fenerive Est,1.42446843806269,2023-02-08,02-08
2106,2023-02-08 09:00:00,Analanjirofo,Fenerive Est,2.31649039685278,2023-02-08,02-08
2216,2023-02-08 12:00:00,Analanjirofo,Fenerive Est,2.09749707333126,2023-02-08,02-08
2326,2023-02-08 15:00:00,Analanjirofo,Fenerive Est,0.791644096164069,2023-02-08,02-08
2436,2023-02-08 18:00:00,Analanjirofo,Fenerive Est,1.16342286885125,2023-02-08,02-08
2546,2023-02-08 21:00:00,Analanjirofo,Fenerive Est,1.13285725508243,2023-02-08,02-08
2656,2023-02-09 00:00:00,Analanjirofo,Fenerive Est,1.11664244860115,2023-02-09,02-09
2766,2023-02-09 03:00:00,Analanjirofo,Fenerive Est,0.850621127057821,2023-02-09,02-09
